Videocard Name,G3D Mark -,G2D Mark -,TDP (W) -,Category
Quadro NVS 140M,49,99,10,Workstation
Quadro NVS 150M,93,327,10,Workstation
Quadro NVS 160M,76,46,12,Workstation
Quadro NVS 210S,24,265,NA,Unknown
Quadro NVS 210S / GeForce 6150LE,21,272,NA,Unknown
Quadro NVS 280 PCI,8,261,NA,Unknown
Quadro NVS 280 SD,2,119,NA,Unknown
Quadro NVS 285,39,185,NA,Unknown
Quadro NVS 285 128MB,38,313,NA,Unknown
Quadro NVS 290,205,59,NA,Unknown
Quadro NVS 295,75,73,23,Workstation
Quadro NVS 320M,128,109,20,Workstation
Quadro NVS 420,70,186,NA,Unknown
Quadro NVS 440,38,358,NA,Unknown
Quadro NVS 450,64,154,NA,Unknown
Quadro NVS 510M,254,317,45,Workstation
Quadro NVS 55/280 PCI,6,116,NA,Unknown
Quadro P1000,"4,473",660,47,Workstation
Quadro P2000,"7,097",693,75,Workstation
Quadro P2000 with Max-Q Design,"4,597",533,NA,Unknown
Quadro P2200,"9,485",971,75,Workstation
Quadro P3000,"6,521",458,75,"Mobile, Workstation"
Quadro P3200,"8,663",510,NA,Unknown
Quadro P3200 with Max-Q Design,"9,242",557,NA,Unknown
Quadro P400,"1,616",427,30,Workstation
Quadro P4000,"11,429",824,105,Workstation
Quadro P4000 with Max-Q Design,"9,083",700,80,Mobile
Quadro P4200,"9,827",607,100,Workstation
Quadro P4200 with Max-Q Design,"11,869",583,NA,Workstation
Quadro P500,"1,519",260,NA,Unknown
Quadro P5000,"11,957",702,180,Workstation
Quadro P520,"2,128",253,NA,Unknown
Quadro P5200,"12,144",667,NA,Mobile
Quadro P5200 with Max-Q Design,"12,323",581,NA,Unknown
Quadro P600,"3,330",481,40,Workstation
Quadro P6000,"15,811",773,250,Workstation
Quadro P620,"3,638",577,40,Workstation
Quadro RTX 3000,"11,142",530,80,"Mobile, Workstation"
Quadro RTX 3000 with Max-Q Design,"8,754",350,60,Mobile
Quadro RTX 4000,"15,514",904,160,Workstation
Quadro RTX 4000 (Mobile),"13,034",591,110,Mobile
Quadro RTX 4000 with Max-Q Design,"13,445",582,80,Mobile
Quadro RTX 5000,"16,257",762,230,Workstation
Quadro RTX 5000 (Mobile),"14,832",705,110,"Mobile, Workstation"
Quadro RTX 5000 with Max-Q Design,"14,030",614,80,"Mobile, Workstation"
Quadro RTX 6000,"19,692",837,295,Workstation
Quadro RTX 8000,"19,126",801,260,Workstation
Quadro T1000,"6,531",447,NA,Mobile
Quadro T1000 with Max-Q Design,"6,572",415,NA,Mobile
Quadro T2000,"7,141",476,NA,Mobile
Quadro T2000 with Max-Q Design,"6,908",458,NA,Mobile
Quadro2 MXR/EX,5,142,NA,Workstation
Quadro2 Pro,1,143,NA,Workstation
Quadro4 380 XGL,7,225,NA,Unknown
Quadro4 900 XGL,5,194,NA,Unknown
Quadro4 980 XGL,5,181,NA,Unknown
Qualcomm Adreno 540 GPU,120,52,NA,Unknown
Qualcomm Adreno 618 GPU,120,61,NA,Unknown
Qualcomm Adreno 630 GPU,261,75,NA,Unknown
Qualcomm Adreno 680 GPU,405,81,NA,Unknown
Qualcomm Adreno 690 GPU,952,81,NA,Unknown
Qualcomm Adreno 8cx Gen 3,"1,670",169,NA,Unknown
QXL KMDOD,19,203,NA,Unknown
Radeon 2100,60,286,NA,Unknown
Radeon 3000,98,414,NA,Unknown
Radeon 3100,74,228,NA,Unknown
Radeon 520,829,214,NA,Unknown
Radeon 530,944,181,NA,Unknown
Radeon 535,"1,048",203,NA,Unknown
Radeon 535DX,813,199,NA,Unknown
Radeon 540,"1,273",272,NA,Unknown
Radeon 540X,"1,398",264,NA,Unknown
Radeon 550,"1,959",501,NA,Unknown
Radeon 550X,"1,430",273,NA,Unknown
Radeon 620,840,202,NA,Unknown
Radeon 625,"1,165",215,NA,Unknown
Radeon 630,"1,245",223,NA,Unknown
Radeon 6600M,513,143,NA,Unknown
Radeon 6750M,911,570,NA,Unknown
Radeon 7000 / Radeon VE,3,99,NA,Unknown
RADEON 7000 / RADEON VE Family,4,107,NA,Unknown
RADEON 7200,3,94,NA,Unknown
RADEON 7500,3,35,NA,Desktop
RADEON 7500 Family,5,125,NA,Unknown
RADEON 8500 Family,7,146,NA,Unknown
RADEON 9000,5,126,NA,Desktop
RADEON 9000 Family,4,123,NA,Unknown
RADEON 9100 Family,6,163,NA,Unknown
RADEON 9100 IGP,5,128,NA,Unknown
RADEON 9200,4,135,NA,Desktop
RADEON 9200 LE Family,3,128,NA,Unknown
RADEON 9200 PRO Family,3,135,NA,Unknown
RADEON 9200 SE,3,129,NA,Desktop
RADEON 9250,3,127,NA,Desktop
RADEON 9500,36,173,NA,Desktop
RADEON 9500 PRO / 9700,42,157,NA,Unknown
RADEON 9550,35,145,NA,Desktop
Radeon 9550 / X1050,29,150,NA,Unknown
RADEON 9600 Family,25,150,NA,Unknown
RADEON 9600 PRO,43,163,NA,Desktop
RADEON 9600 PRO Family,27,148,NA,Unknown
RADEON 9600 TX Family,18,138,NA,Unknown
RADEON 9600 XT,35,147,NA,Desktop
RADEON 9600SE,27,143,NA,Unknown
RADEON 9700 PRO,54,149,NA,Desktop
RADEON 9800,58,191,NA,Desktop
RADEON 9800 PRO,59,153,NA,Desktop
RADEON 9800 SE,24,131,NA,Desktop
RADEON 9800 XT,57,160,NA,Desktop
RADEON A9800XT,23,145,NA,Unknown
RADEON E2400,52,287,NA,Unknown
RADEON E4690,405,347,NA,Unknown
Radeon E6460,324,225,NA,Unknown
Radeon E6465,231,354,NA,Unknown
Radeon E6760,973,573,NA,Unknown
Radeon E8860,"1,626",528,NA,Unknown
Radeon E8870PCIe,"3,368",708,NA,Unknown
Radeon HD 2350,77,262,20,Desktop
Radeon HD 2400,121,298,NA,Unknown
Radeon HD 2400 PCI,14,86,NA,Unknown
Radeon HD 2400 Pro,114,346,20,Desktop
Radeon HD 2400 XT,119,357,25,Desktop
Radeon HD 2600 PRO,211,337,35,Desktop
Radeon HD 2600 Pro AGP,110,137,NA,Unknown
Radeon HD 2600 XT,283,371,45,Desktop
Radeon HD 2900 GT,292,344,150,Desktop
Radeon HD 2900 PRO,628,397,200,Desktop
Radeon HD 2900 XT,660,397,215,Desktop
Radeon HD 3000,96,264,NA,Unknown
Radeon HD 3200,82,227,NA,Unknown
Radeon HD 3300,127,373,NA,Unknown
Radeon HD 3450,119,30,25,Desktop
Radeon HD 3470,90,95,30,Desktop
Radeon HD 3650 AGP,150,155,NA,Unknown
Radeon HD 3670,151,62,NA,Unknown
Radeon HD 3850,410,43,75,Desktop
Radeon HD 3850 AGP,432,92,75,Desktop
Radeon HD 3850 X2,822,422,349,Desktop
Radeon HD 3870,576,82,106,Desktop
Radeon HD 3870 X2,709,224,165,Desktop
Radeon HD 4200,112,372,NA,Desktop
Radeon HD 4250,123,408,NA,Desktop
Radeon HD 4270,110,303,NA,Unknown
Radeon HD 4290,141,442,NA,Desktop
Radeon HD 4300/4500 Serisi,156,347,NA,Unknown
Radeon HD 4330,109,42,NA,Unknown
Radeon HD 4350,102,34,20,Desktop
Radeon HD 4550,236,429,20,Desktop
Radeon HD 4650,219,39,48,Desktop
Radeon HD 4650 AGP,208,156,NA,Unknown
Radeon HD 4670,384,50,59,Desktop
Radeon HD 4770,906,172,80,Desktop
Radeon HD 4810,769,425,95,Desktop
Radeon HD 4830,860,81,95,Desktop
Radeon HD 4850,952,111,110,Desktop
Radeon HD 4850 X2,"1,132",542,250,Desktop
Radeon HD 4870,"1,379",80,150,Desktop
Radeon HD 4870 X2,"1,309",565,286,Desktop
Radeon HD 4890,"1,533",103,190,Desktop
Radeon HD 5450,138,149,19.1,Desktop
Radeon HD 5470,268,298,NA,Unknown
Radeon HD 5550,383,187,39,Desktop
Radeon HD 5570,474,176,39,Desktop
Radeon HD 5600/5700,661,273,NA,Unknown
Radeon HD 5670,787,279,64,Desktop
Radeon HD 5750,"1,156",336,86,Desktop
Radeon HD 5770,"1,352",328,108,Desktop
Radeon HD 5830,"1,739",382,175,Desktop
Radeon HD 5850,"1,967",408,151,Desktop
Radeon HD 5870,"2,266",410,228,Desktop
Radeon HD 5970,"2,249",393,294,Desktop
Radeon HD 6230,179,254,NA,Unknown
Radeon HD 6250,94,32,35,Mobile
Radeon HD 6290,109,34,45,Mobile
Radeon HD 6290M,140,92,NA,Unknown
Radeon HD 6300M,142,116,NA,Unknown
Radeon HD 6310,124,39,45,Mobile
Radeon HD 6320,148,45,45,Mobile
Radeon HD 6320 Graphic,216,159,NA,Unknown
Radeon HD 6320M,198,151,NA,Unknown
RADEON HD 6350,141,171,19.1,Desktop
Radeon HD 6370D,254,147,65,Desktop
Radeon HD 6370M,276,401,11,Mobile
Radeon HD 6380G,204,97,35,Mobile
Radeon HD 6410D,243,123,65,Desktop
Radeon HD 6430M,193,106,NA,Mobile
Radeon HD 6450,200,120,18,Desktop
Radeon HD 6450 + 8470D Dual,763,486,NA,Unknown
Radeon HD 6450A,260,208,NA,Unknown
Radeon HD 6470M,228,104,NA,Mobile
Radeon HD 6480G,259,78,45,Mobile
Radeon HD 6480M,353,282,NA,Unknown
Radeon HD 6490M,378,514,NA,Mobile
Radeon HD 6520G,301,84,45,Mobile
Radeon HD 6530D,325,138,100,Desktop
Radeon HD 6550A,708,609,NA,Unknown
Radeon HD 6550D,417,149,100,Desktop
Radeon HD 6570,495,193,44,Desktop
Radeon HD 6610M,565,527,NA,Unknown
Radeon HD 6620G,358,106,45,Mobile
Radeon HD 6630M,685,390,NA,Mobile
Radeon HD 6650A,836,418,NA,Unknown
Radeon HD 6650M,752,230,NA,Mobile
Radeon HD 6670,745,236,66,Desktop
Radeon HD 6670 + 6670 Dual,647,552,NA,Unknown
Radeon HD 6670 + 7660D Dual,"1,492",483,NA,Unknown
Radeon HD 6670/7670,946,320,NA,Unknown
Radeon HD 6700M,"1,017",523,NA,Unknown
Radeon HD 6750,998,300,86,Desktop
Radeon HD 6750M,937,487,NA,Mobile
Radeon HD 6770,"1,231",314,108,Desktop
Radeon HD 6770M,964,572,NA,Mobile
Radeon HD 6790,"1,613",370,150,Desktop
Radeon HD 6800M,728,230,NA,Unknown
Radeon HD 6850,"1,979",424,127,Desktop
Radeon HD 6850 X2,"2,534",373,NA,Unknown
Radeon HD 6870,"2,224",397,151,Desktop
Radeon HD 6900M,"1,710",345,NA,Unknown
Radeon HD 6950,"2,641",427,200,Desktop
Radeon HD 6970,"2,863",430,250,Desktop
Radeon HD 6970M,"2,270",656,75,Mobile
Radeon HD 6990,"3,013",630,375,Desktop
Radeon HD 7290,115,51,NA,Unknown
Radeon HD 7290M,123,90,NA,Unknown
Radeon HD 7310,130,45,NA,Unknown
Radeon HD 7310 - Carte graphique,174,120,NA,Unknown
Radeon HD 7310G,181,119,NA,Unknown
Radeon HD 7310M,166,127,NA,Unknown
Radeon HD 7340,156,56,NA,Unknown
Radeon HD 7340G,196,146,NA,Unknown
Radeon HD 7340M,221,160,NA,Unknown
Radeon HD 7350,193,248,19.1,Desktop
Radeon HD 7400G,267,109,NA,Unknown
Radeon HD 7420G,311,121,NA,Unknown
Radeon HD 7450,221,147,18,Desktop
Radeon HD 7450A,288,385,NA,Unknown
Radeon HD 7450M,330,441,7,Mobile
Radeon HD 7470,316,177,27,Desktop
Radeon HD 7470M,408,393,7,Mobile
Radeon HD 7480D,288,117,65,Desktop
Radeon HD 7500G,330,114,NA,Unknown
Radeon HD 7500G + 7500M/7600M Dual,617,308,NA,Unknown
Radeon HD 7500G + 7550M Dual,497,263,NA,Unknown
Radeon HD 7500G + HD 7500M/7600M Dual,356,265,NA,Unknown
Radeon HD 7520G,312,111,NA,Unknown
Radeon HD 7520G + 7400M Dual,487,280,NA,Unknown
Radeon HD 7520G + 7470M Dual,543,345,NA,Unknown
Radeon HD 7520G + 7500/7600 Dual,582,379,NA,Unknown
Radeon HD 7520G + 7600M Dual,591,362,NA,Unknown
Radeon HD 7520G + 7610M Dual,588,317,NA,Unknown
Radeon HD 7520G + 7650M Dual,453,345,NA,Unknown
Radeon HD 7520G + 7670M Dual,523,323,NA,Unknown
Radeon HD 7520G + 7700M Dual,"1,061",331,NA,Unknown
Radeon HD 7520G + 8600/8700M Dual,311,329,NA,Unknown
Radeon HD 7520G + 8750M Dual,377,388,NA,Unknown
Radeon HD 7520G + HD 7400M Dual,545,315,NA,Unknown
Radeon HD 7520G + HD 7500/7600 Dual,832,355,NA,Unknown
Radeon HD 7520G + HD 7600M Dual,447,150,NA,Unknown
Radeon HD 7520G + HD 7670M Dual,495,295,NA,Unknown
Radeon HD 7520G + HD 7700M Dual,575,389,NA,Unknown
Radeon HD 7520G + HD 8600/8700M Dual,624,291,NA,Unknown
Radeon HD 7520G + HD 8750M Dual,651,289,NA,Unknown
Radeon HD 7520G N HD 7520G + HD 7500/7600 7500/760,575,386,NA,Unknown
Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D,365,263,NA,Unknown
Radeon HD 7540D,336,125,65,Desktop
Radeon HD 7540D + 6570 Dual,720,469,NA,Unknown
Radeon HD 7540D + 7500 Dual,822,471,NA,Unknown
Radeon HD 7540D + HD 6450 Dual,643,444,NA,Unknown
Radeon HD 7550M,465,403,13,Mobile
Radeon HD 7550M/7650M,729,524,13,Mobile
Radeon HD 7560D,468,167,100,Desktop
Radeon HD 7560D + 6450 Dual,569,490,NA,Unknown
Radeon HD 7560D + 6570 Dual,833,476,NA,Unknown
Radeon HD 7560D + 6670 Dual,"1,131",501,NA,Unknown
Radeon HD 7560D + 7560D Dual,983,420,NA,Unknown
Radeon HD 7560D + 7570 Dual,985,434,NA,Unknown
Radeon HD 7560D + 7670 Dual,"1,426",445,NA,Unknown
Radeon HD 7560D + 7700 Dual,"1,919",518,NA,Unknown
Radeon HD 7560D + HD 6570 Dual,"1,237",528,NA,Unknown
Radeon HD 7560D + HD 6670 Dual,"1,555",652,NA,Unknown
Radeon HD 7560D + HD 7000 Dual,534,423,NA,Unknown
Radeon HD 7560D + HD 7600 Dual,"1,258",457,NA,Unknown
Radeon HD 7560D + HD 7670 Dual,"1,380",463,NA,Unknown
Radeon HD 7560D + HD 7700 Dual,"1,347",497,NA,Unknown
Radeon HD 7560D + HD 8570 Dual,936,425,NA,Unknown
Radeon HD 7560D + R5 235 Dual,563,397,NA,Unknown
Radeon HD 7570,615,268,44,Desktop
Radeon HD 7570M,448,201,13,Mobile
Radeon HD 7570M/HD 7670M,699,555,25,Mobile
Radeon HD 7580D,351,430,NA,Unknown
Radeon HD 7600G,320,99,NA,Unknown
Radeon HD 7600G + 6400M Dual,377,257,NA,Unknown
Radeon HD 7600G + 7450M Dual,390,221,NA,Unknown
Radeon HD 7600G + 7500M/7600M Dual,406,210,NA,Unknown
Radeon HD 7600G + 7550M Dual,423,247,NA,Unknown
Radeon HD 7600G + 8500M/8700M Dual,470,257,NA,Unknown
Radeon HD 7600G + HD 7400M Dual,329,147,NA,Unknown
Radeon HD 7600G + HD 7500M/7600M Dual,555,244,NA,Unknown
Radeon HD 7600G + HD 7550M Dual,509,202,NA,Unknown
Radeon HD 7600G + HD 8670M Dual,544,241,NA,Unknown
Radeon HD 7600G + HD Dual,435,158,NA,Unknown
Radeon HD 7600G N HD 7600G + HD ON HD Dual,526,244,NA,Unknown
Radeon HD 7600M + 7600M Dual,773,317,NA,Unknown
Radeon HD 7610M,632,479,20,Mobile
Radeon HD 7620G,366,113,NA,Unknown
Radeon HD 7620G + 8600M Dual,509,294,NA,Unknown
Radeon HD 7620G + 8670M Dual,577,322,NA,Unknown
Radeon HD 7620G + HD 8600M Dual,443,267,NA,Unknown
Radeon HD 7620G + HD 8670M Dual,507,267,NA,Unknown
Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,452,238,NA,Unknown
Radeon HD 7640G,446,123,NA,Unknown
Radeon HD 7640G + 6400M Dual,527,279,NA,Unknown
Radeon HD 7640G + 7400M Dual,637,286,NA,Unknown
Radeon HD 7640G + 7450M Dual,754,353,NA,Unknown
Radeon HD 7640G + 7470M Dual,595,301,NA,Unknown
Radeon HD 7640G + 7500/7600 Dual,627,293,NA,Unknown
Radeon HD 7640G + 7500M/7600M Dual,776,317,NA,Unknown
Radeon HD 7640G + 7600M Dual,706,294,NA,Unknown
Radeon HD 7640G + 7610M Dual,510,309,NA,Unknown
Radeon HD 7640G + 7650M Dual,747,188,NA,Unknown
Radeon HD 7640G + 7670M Dual,645,294,NA,Unknown
Radeon HD 7640G + 7690M Dual,946,325,NA,Unknown
Radeon HD 7640G + 7700M Dual,691,324,NA,Unknown
Radeon HD 7640G + 8500M Dual,586,308,NA,Unknown
Radeon HD 7640G + 8570M Dual,558,274,NA,Unknown
Radeon HD 7640G + 8600/8700M Dual,689,308,NA,Unknown
Radeon HD 7640G + 8600M Dual,250,217,NA,Unknown
Radeon HD 7640G + 8670M Dual,558,316,NA,Unknown
Radeon HD 7640G + 8750M Dual,655,305,NA,Unknown
Radeon HD 7640G + HD 7400M Dual,621,297,NA,Unknown
Radeon HD 7640G + HD 7500/7600 Dual,424,301,NA,Unknown
Radeon HD 7640G + HD 7600M Dual,704,277,NA,Unknown
Radeon HD 7640G + HD 7600M N HD 7600M Dual,407,198,NA,Unknown
Radeon HD 7640G + HD 7670M Dual,519,97,NA,Unknown
Radeon HD 7640G + HD 7700M Dual,589,277,NA,Unknown
Radeon HD 7640G + HD 7700M N HD 7700M Dual,631,272,NA,Unknown
Radeon HD 7640G + HD 8500M Dual,607,305,NA,Unknown
Radeon HD 7640G + HD 8500M N HD 8500M Dual,666,311,NA,Unknown
Radeon HD 7640G + HD 8570M Dual,475,196,NA,Unknown
Radeon HD 7640G + HD 8600/8700M Dual,587,298,NA,Unknown
Radeon HD 7640G + HD 8670M Dual,677,249,NA,Unknown
Radeon HD 7640G + HD 8750M Dual,997,293,NA,Unknown
Radeon HD 7640G + R5 M200 Dual,559,249,NA,Unknown
Radeon HD 7640G + R5 M230 Dual,239,75,NA,Unknown
Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,824,262,NA,Unknown
Radeon HD 7640G N HD 7640G + HD 7670M Dual,680,305,NA,Unknown
Radeon HD 7640G N HD 7640G + HD 8570M Dual,423,287,NA,Unknown
Radeon HD 7650A,564,311,NA,Unknown
Radeon HD 7650M,451,69,20,Mobile
Radeon HD 7660D,505,182,100,Desktop
Radeon HD 7660D + 6570 Dual,"1,100",551,NA,Unknown
Radeon HD 7660D + 6670 Dual,"1,238",524,NA,Unknown
Radeon HD 7660D + 7470 Dual,466,491,NA,Unknown
Radeon HD 7660D + 7500 Dual,"1,121",500,NA,Unknown
Radeon HD 7660D + 7540D Dual,"1,204",547,NA,Unknown
Radeon HD 7660D + 7670 Dual,"1,062",494,NA,Unknown
Radeon HD 7660D + HD 6670 Dual,"1,485",515,NA,Unknown
Radeon HD 7660D + HD 7000 Dual,634,465,NA,Unknown
Radeon HD 7660D + HD 7400 Dual,340,448,NA,Unknown
Radeon HD 7660D + HD 7700 Dual,"1,958",495,NA,Unknown
Radeon HD 7660D + R5 235 Dual,524,386,NA,Unknown
Radeon HD 7660D + R7 240 Dual,942,453,NA,Unknown
Radeon HD 7660G,476,129,NA,Unknown
Radeon HD 7660G + 7400M Dual,588,326,NA,Unknown
Radeon HD 7660G + 7470M Dual,631,351,NA,Unknown
Radeon HD 7660G + 7600M Dual,832,341,NA,Unknown
Radeon HD 7660G + 7610M Dual,746,323,NA,Unknown
Radeon HD 7660G + 7670M Dual,743,347,NA,Unknown
Radeon HD 7660G + 7700M Dual,757,311,NA,Unknown
Radeon HD 7660G + 7730M Dual,931,392,NA,Unknown
Radeon HD 7660G + 8600M Dual,446,360,NA,Unknown
Radeon HD 7660G + 8670M Dual,588,333,NA,Unknown
Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,"1,002",347,NA,Unknown
Radeon HD 7660G + HD 7500/7600 Dual,760,369,NA,Unknown
Radeon HD 7660G + HD 7500M/7600M Dual,999,323,NA,Unknown
Radeon HD 7660G + HD 7600M Dual,616,116,NA,Unknown
Radeon HD 7660G + HD 7600M N HD 7600M Dual,460,297,NA,Unknown
Radeon HD 7660G + HD 7670M Dual,707,317,NA,Unknown
Radeon HD 7660G + HD 7700M Dual,777,168,NA,Unknown
Radeon HD 7660G + HD 7730M Dual,882,329,NA,Unknown
Radeon HD 7660G + HD 8500M Dual,758,355,NA,Unknown
Radeon HD 7660G + HD 8600/8700M Dual,747,365,NA,Unknown
Radeon HD 7660G + HD 8600M Dual,364,337,NA,Unknown
Radeon HD 7660G + HD 8670M Dual,711,325,NA,Unknown
Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,723,292,NA,Unknown
Radeon HD 7660G N HD 7660G + HD 7670M Dual,705,318,NA,Unknown
Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,967,351,NA,Unknown
Radeon HD 7670,813,301,66,Desktop
Radeon HD 7670A,"1,050",702,NA,Unknown
Radeon HD 7670M,487,129,20,Mobile
Radeon HD 7670M + 7670M Dual,738,294,NA,Unknown
Radeon HD 7690M,"1,003",576,20,Mobile
Radeon HD 7690M XT,"1,009",552,25,Mobile
Radeon HD 7700-serie,"1,899",533,NA,Unknown
Radeon HD 7730,"1,217",402,47,Desktop
Radeon HD 7730M,634,218,25,Mobile
Radeon HD 7750,"1,697",398,55,Desktop
Radeon HD 7750M,"1,191",693,28,Mobile
Radeon HD 7770,"2,201",469,80,Desktop
Radeon HD 7790,"3,090",459,85,Desktop
Radeon HD 7800-serie,"4,029",708,NA,Unknown
Radeon HD 7850,"3,824",550,130,Desktop
Radeon HD 7850M,"1,373",566,40,Mobile
Radeon HD 7870,"4,668",588,175,Desktop
Radeon HD 7870 XT,"4,470",661,185,Desktop
Radeon HD 7870M,"1,507",556,45,Mobile
Radeon HD 7950 / R9 280,"4,765",691,200,Desktop
Radeon HD 7970 / R9 280X,"5,248",730,250,Desktop
Radeon HD 7970M,"3,774",541,75,Mobile
Radeon HD 7990,"5,566",766,375,Desktop
Radeon HD 8180,152,55,NA,Unknown
Radeon HD 8210,193,50,NA,Unknown
Radeon HD 8210E,194,202,NA,Unknown
Radeon HD 8240,241,62,NA,Unknown
Radeon HD 8250,208,63,NA,Unknown
Radeon HD 8280,319,141,NA,Unknown
Radeon HD 8280E,241,82,NA,Unknown
Radeon HD 8280G,270,130,NA,Unknown
Radeon HD 8310E,341,187,NA,Unknown
Radeon HD 8330,252,68,NA,Unknown
Radeon HD 8330E,242,95,NA,Unknown
Radeon HD 8350,165,233,4.4,Desktop
Radeon HD 8350G,443,332,35,Mobile
Radeon HD 8370D,311,151,NA,Unknown
Radeon HD 8400,259,78,NA,Unknown
Radeon HD 8400E,273,123,NA,Unknown
Radeon HD 8410G,435,263,NA,Unknown
Radeon HD 8450G,356,149,NA,Unknown
Radeon HD 8450G + 8600/8700M Dual,"1,070",381,NA,Unknown
Radeon HD 8450G + 8600M Dual,545,356,NA,Unknown
Radeon HD 8450G + 8670M Dual,475,414,NA,Unknown
Radeon HD 8450G + 8750M Dual,637,299,NA,Unknown
Radeon HD 8450G + HD 8600M Dual,452,326,NA,Unknown
Radeon HD 8450G + HD 8670M Dual,575,377,NA,Unknown
Radeon HD 8450G + HD 8750M Dual,504,323,NA,Unknown
Radeon HD 8450G + R5 M230 Dual,578,298,NA,Unknown
Radeon HD 8470,257,172,35,Desktop
Radeon HD 8470D,362,145,NA,Unknown
Radeon HD 8470D + 6450 Dual,717,558,NA,Unknown
Radeon HD 8470D + 6570 Dual,838,454,NA,Unknown
Radeon HD 8470D + HD 6450 Dual,863,590,NA,Unknown
Radeon HD 8470D + HD 6670 Dual,"1,436",512,NA,Unknown
Radeon HD 8470D + HD 7500 Dual,"1,545",465,NA,Unknown
Radeon HD 8490,265,173,35,Desktop
Radeon HD 8500M,397,116,NA,Unknown
Radeon HD 8500M/8700M,853,503,NA,Unknown
Radeon HD 8510G,361,105,NA,Unknown
Radeon HD 8510G + 8500M Dual,596,260,NA,Unknown
Radeon HD 8510G + HD 8500M Dual,630,191,NA,Unknown
Radeon HD 8550D,685,357,NA,Unknown
Radeon HD 8550G,398,120,NA,Unknown
Radeon HD 8550G + 7600M Dual,901,395,NA,Unknown
Radeon HD 8550G + 8500M Dual,603,304,NA,Unknown
Radeon HD 8550G + 8570M Dual,533,307,NA,Unknown
Radeon HD 8550G + 8600/8700M Dual,803,336,NA,Unknown
Radeon HD 8550G + 8600M Dual,618,321,NA,Unknown
Radeon HD 8550G + 8670M Dual,579,334,NA,Unknown
Radeon HD 8550G + 8690M Dual,664,260,NA,Unknown
Radeon HD 8550G + 8750M Dual,796,321,NA,Unknown
Radeon HD 8550G + HD 7600M Dual,855,350,NA,Unknown
Radeon HD 8550G + HD 8500M Dual,559,301,NA,Unknown
Radeon HD 8550G + HD 8570M Dual,529,260,NA,Unknown
Radeon HD 8550G + HD 8600/8700M Dual,655,170,NA,Unknown
Radeon HD 8550G + HD 8600M Dual,594,322,NA,Unknown
Radeon HD 8550G + HD 8670M Dual,546,315,NA,Unknown
Radeon HD 8550G + HD 8750M Dual,819,336,NA,Unknown
Radeon HD 8550G + R5 M200 Dual,619,276,NA,Unknown
Radeon HD 8550G + R5 M230 Dual,488,211,NA,Unknown
Radeon HD 8550G N HD 8550G + HD 8600M N HD 8600M D,612,116,NA,Unknown
Radeon HD 8570,989,307,66,Desktop
Radeon HD 8570 + 8670D Dual,620,496,NA,Unknown
Radeon HD 8570 + HD 7660D Dual,949,467,NA,Unknown
Radeon HD 8570D,439,154,NA,Unknown
Radeon HD 8570D + 6570 Dual,"1,239",459,NA,Unknown
Radeon HD 8570D + 6670 Dual,"1,040",505,NA,Unknown
Radeon HD 8570D + HD 6570 Dual,868,506,NA,Unknown
Radeon HD 8570D + HD 6670 Dual,"1,261",537,NA,Unknown
Radeon HD 8570D + HD 7000 Dual,753,465,NA,Unknown
Radeon HD 8570D + HD 7700 Dual,"1,835",466,NA,Unknown
Radeon HD 8570D + HD 8470 Dual,338,416,NA,Unknown
Radeon HD 8570D + HD 8570 Dual,"1,033",520,NA,Unknown
Radeon HD 8570D + HD8490 Dual,374,380,NA,Unknown
Radeon HD 8570D + R5 235 Dual,471,470,NA,Unknown
Radeon HD 8570D + R7 200 Dual,999,401,NA,Unknown
Radeon HD 8570D + R7 240 Dual,964,489,NA,Unknown
Radeon HD 8570M,422,164,NA,Unknown
Radeon HD 8600/8700M,"1,030",554,NA,Unknown
Radeon HD 8610G,409,122,NA,Unknown
Radeon HD 8610G + 8500M Dual,610,298,NA,Unknown
Radeon HD 8610G + 8600M Dual,589,320,NA,Unknown
Radeon HD 8610G + 8670M Dual,600,356,NA,Unknown
Radeon HD 8610G + HD 8500M Dual,646,274,NA,Unknown
Radeon HD 8610G + HD 8600M Dual,481,156,NA,Unknown
Radeon HD 8610G + HD 8670M Dual,578,282,NA,Unknown
Radeon HD 8610G + R5 M200 Dual,676,291,NA,Unknown
Radeon HD 8650D,526,398,NA,Unknown
Radeon HD 8650G,479,135,NA,Unknown
Radeon HD 8650G + 7600M Dual,742,404,NA,Unknown
Radeon HD 8650G + 7670M Dual,884,379,NA,Unknown
Radeon HD 8650G + 7700M Dual,"1,126",399,NA,Unknown
Radeon HD 8650G + 8500M Dual,627,351,NA,Unknown
Radeon HD 8650G + 8570M Dual,654,282,NA,Unknown
Radeon HD 8650G + 8600/8700M Dual,832,374,NA,Unknown
Radeon HD 8650G + 8600M Dual,613,370,NA,Unknown
Radeon HD 8650G + 8670M Dual,635,355,NA,Unknown
Radeon HD 8650G + 8750M Dual,787,381,NA,Unknown
Radeon HD 8650G + HD 7600M Dual,820,346,NA,Unknown
Radeon HD 8650G + HD 7670M Dual,634,305,NA,Unknown
